question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is JavaScript?","Programming Language","Database","Operating System","Web Server","0"
"Which keyword declares a variable in JavaScript?","var","define","variable","declare","0"
"Which symbol is used for a single-line comment?","//","/*","<!--","##","0"
"Which method prints output to the console?","console.log()","print()","echo()","display()","0"
"Which data type stores true or false?","String","Boolean","Number","Object","1"
"Which operator checks both value and type?","==","=","===","!=","2"
"Which method adds an element to the end of an array?","pop()","push()","shift()","unshift()","1"
"Which method removes the last element from an array?","pop()","push()","shift()","slice()","0"
"Which keyword is used to define a function?","function","func","define","method","0"
"What does DOM stand for?","Document Object Model","Data Object Model","Document Order Model","Digital Object Management","0"
"Which keyword creates a constant variable?","let","var","const","static","2"
"Which method converts JSON string into JavaScript object?","JSON.parse()","JSON.stringify()","JSON.convert()","JSON.object()","0"
"Which loop executes while a condition is true?","for","while","switch","if","1"
"Which value represents an empty or intentionally absent value?","undefined","null","false","0","1"
"Which operator is used for logical AND?","||","!","&&","&","2"
