question,optionA,optionB,optionC,optionD,correctOptionIndex
"What is React?","A JavaScript library for building user interfaces","A programming language","A database management system","An operating system","0"
"Who originally developed React?","Google","Amazon","Meta (Facebook)","Microsoft","2"
"What is a component in React?","A reusable piece of the user interface","A server","A database table","A CSS file","0"
"Which approach does React use to build user interfaces?","Component-based approach","File-based approach","Database-based approach","Server-based approach","0"
"What is the declarative approach in React?","Describing what the UI should look like based on data","Manually updating every DOM element","Writing HTML by hand","Using only CSS for styling","0"
"What does React use to efficiently manage UI updates?","Virtual DOM","SQL Database","CSS Grid","npm","0"
"What is a functional component in React?","A JavaScript function that returns JSX","A database query","A class from Java","A CSS selector","0"
"With what letter should a functional component name start?","A lowercase letter","A capital letter","A number","A symbol","1"
"What is component nesting?","Using one component inside another component","Deleting a component","Combining CSS files","Installing a package","0"
"Why does React use className instead of class?","Because class is a reserved keyword in JavaScript","Because it is shorter","Because className works faster","Because browsers support only className","0"
"What is a Fragment in React?","A way to group elements without adding an extra DOM node","A database record","A state value","A type of component prop","0"
"How are fragments written in shorthand?","<></>","<div></div>","<span></span>","<section></section>","0"
"What are props in React?","Data passed from a parent component to a child component","Local variables in a component","Global database records","CSS style objects","0"
"Can a child component modify the props it receives?","Yes, always","No, props are read-only","Only with useState","Only inside useEffect","1"
"In which direction do props flow?","From parent to child","From child to parent","Both directions equally","Randomly","0"
"What does the useState hook return?","An array with the current state value and a setter function","A single state object","Two number values","A promise","0"
"When updating state based on the previous value, what should be passed to the setter?","A callback function","A string","A boolean","An object literal","0"
"What is a controlled input?","An input whose value is controlled by React state","An input that cannot be typed in","An input with a fixed value","An input that resets on every click","0"
"How are event names written in React?","camelCase, like onClick","lowercase, like onclick","UPPERCASE, like ONCLICK","kebab-case, like on-click","0"
"Which event runs when the value of an input field changes?","onChange","onClick","onSubmit","onLoad","0"
"How is the default form page reload prevented in React?","Using preventDefault()","Using stopPropagation()","Using return false only","Using reload(false)","0"
"What is the syntax of the ternary operator?","condition ? valueIfTrue : valueIfFalse","condition && valueIfTrue","if condition then value","condition || valueIfFalse","0"
"What does the logical AND operator (&&) do in conditional rendering?","Renders the right side only if the left side is truthy","Renders both sides always","Renders the left side only","Stops all rendering","0"
"Why should each item in a rendered list have a unique key prop?","So React can efficiently identify, update, and reorder items","To make the list colorful","To speed up the network","To access CSS classes","0"
"Which method transforms an array of data into an array of JSX elements?","map()","filter()","reduce()","forEach()","0"
"What are keys in React lists?","Special string attributes that identify list items","Database primary keys","CSS class names","Event handlers","0"
"How does data flow from a child component to a parent component?","Through callback props","Through props directly","By mutating props","Through CSS classes","0"
"What does lifting state up mean?","Moving shared state to the closest common parent component","Moving state to the child component","Storing state in the database","Removing all state","0"
"Why are keys important in React lists?","Without keys React cannot tell which items changed","Keys are optional and never matter","Keys are used for styling only","Keys replace all props","0"
"Which method is used to remove an item from a state array in the todo example?","filter()","map()","push()","slice()","0"
"React Hooks were introduced in which version?","React 16.8","React 15.0","React 18.2","React 8.1","0"
"Where must Hooks be called according to the Rules of Hooks?","At the top level of a React function","Inside loops and conditions","Inside nested functions","In regular JavaScript functions","0"
"When does a useEffect with an empty dependency array run?","Only once after the initial render","After every render","Before the component renders","Only on user clicks","0"
"What is a cleanup function in useEffect used for?","Cleaning up timers and removing event listeners","Updating the DOM","Creating new state","Calling APIs","0"
"Which hook returns a mutable object that persists across renders without causing a re-render?","useRef","useMemo","useState","useEffect","0"
"Which hook memoizes the result of an expensive calculation?","useMemo","useRef","useState","useLayoutEffect","0"
"Which hook memoizes a function so its reference stays the same unless dependencies change?","useCallback","useMemo","useReducer","useEffect","0"
"What is a custom hook?","A user-defined function starting with 'use' that may call other hooks","A built-in React component","A CSS class","A database query","0"
"What does REST stand for?","Representational State Transfer","Remote State Transfer","Repetitive Server Transmission","Rendered Style Token","0"
"Which CRUD operation does a GET request map to?","Read","Create","Update","Delete","0"
"Which hook manages complex state using a reducer function and action objects?","useReducer","useState","useCallback","useEffect","0"
"In Redux, what is the store?","The single source of truth that holds the entire application state","A database table","A CSS file","A navigation bar","0"
"Which technique improves performance by loading only required code on demand?","Code splitting / lazy loading","Prop drilling","Hard coding","Duplicate rendering","0"
"Which folder contains optimized static files after a production build?","dist","node_modules","src","components","0"
"What is deployment in a React application?","Putting the production build online for users","Writing React components","Creating a reducer","Validating a form","0"
"Which is a React best practice?","Keeping components small and focused","Putting all code in one component","Hardcoding sensitive data","Ignoring all errors","0"
"Which HTTP method is commonly used to delete data in a CRUD application?","DELETE","POST","GET","PATCH","0"
"Which HTTP method updates only specific fields of a record?","PATCH","PUT","POST","DELETE","0"
