question,optionA,optionB,optionC,optionD,correctOptionIndex
"What are Props in React?","CSS properties","Data passed from a parent component to a child component","Database records","HTML tags","1"
"Props is short for what?","Properties","Programs","Parameters","Processes","0"
"From where are props usually passed?","Child to parent","Parent to child","Server to database","CSS to HTML","1"
"Can a child component directly modify its props?","Yes","No","Only with CSS","Only with HTML","1"
"Which of the following is used to pass a prop?","<User name=""John"" />","<User prop-name=""John"" />","<User data=""John"" />","<User=>John</User>","0"
"What is props destructuring?","Deleting props","Extracting values directly from the props object","Converting props into CSS","Updating state","1"
"What is State in React?","Data managed by a component that can change over time","A CSS class","An HTML element","A database table","0"
"Which React Hook is used to manage state in functional components?","useEffect","useState","useContext","useRef","1"
"What does useState return?","Only the state value","Only a setter function","Current state value and a setter function","A component","2"
"What is the purpose of the setter function returned by useState?","To update the state","To create CSS","To pass props","To create HTML","0"
"What happens when React state is updated?","The component can re-render with the updated data","The browser closes","The component is deleted","The database is automatically removed","0"
"Can a component have multiple useState calls?","No","Yes","Only two","Only one","1"
"Which pattern is preferred when the new state depends on the previous state?","setCount(count)","setCount((prev) => prev + 1)","setCount(previous = 1)","setCount(oldState)","1"
"What is the purpose of the prev parameter in a state updater callback?","It represents the previous state value","It represents a prop","It represents CSS","It represents an HTML element","0"
"Which event is commonly used when a button is clicked in React?","onChange","onSubmit","onClick","onFocus","2"
"Which event is commonly used when the value of an input changes?","onClick","onChange","onSubmit","onLoad","1"
"What is a controlled input in React?","An input controlled by React state","An input controlled only by CSS","An input without a value","An input that cannot be edited","0"
"Which expression correctly connects an input to state?","value={name}","state={name}","input={name}","text={name}","0"
"What does e.target.value provide in an input change event?","The CSS class","The current input value","The component name","The previous prop","1"
"What is the main difference between Props and State?","Props are passed into a component, while State is managed by the component","Props are CSS and State is HTML","Props are databases and State is JavaScript","There is no difference","0"
